idx,n_true,Kphi,Kc,cohesion,friction_angle,janosi_shear,estimator,converged_n,pct_err
17,0.4204014267095729,558859.8629159301,7307.394066081758,8397.51284061525,8.27747053447807,0.02116521478760037,Learned MLP,0.6001021402244898,42.7450294166247
37,0.6615144874561674,3248976.8320480995,749.595112075813,6180.6276076890235,9.673866374053752,0.010277907983807243,Bekker-UKF,1.0152628063525184,53.47552103608173
37,0.6615144874561674,3248976.8320480995,749.595112075813,6180.6276076890235,9.673866374053752,0.010277907983807243,NN-UKF,0.542925466201707,17.926897067740818
37,0.6615144874561674,3248976.8320480995,749.595112075813,6180.6276076890235,9.673866374053752,0.010277907983807243,Learned MLP,0.5821553627292818,11.996581515857423
38,1.0127210031871652,505510.1454778819,17992.155780654888,12115.757904676635,14.473053984063881,0.018501281883040614,Bekker-UKF,0.5480245352575378,45.8859317094409
38,1.0127210031871652,505510.1454778819,17992.155780654888,12115.757904676635,14.473053984063881,0.018501281883040614,NN-UKF,1.3505668529398642,33.3602096420884
38,1.0127210031871652,505510.1454778819,17992.155780654888,12115.757904676635,14.473053984063881,0.018501281883040614,Learned MLP,1.2999999999999645,28.36704244394012
39,1.2990125858271648,1173232.1363250327,18223.977322789426,3506.366177231619,36.41430867991752,0.022092907226549816,Bekker-UKF,0.5458897408059085,57.97656260133112
39,1.2990125858271648,1173232.1363250327,18223.977322789426,3506.366177231619,36.41430867991752,0.022092907226549816,NN-UKF,1.3348603301494348,2.7596148577300688
39,1.2990125858271648,1173232.1363250327,18223.977322789426,3506.366177231619,36.41430867991752,0.022092907226549816,Learned MLP,1.2999999999021907,0.07601266421888778
40,0.44970504443978765,3909672.8720367556,3516.7344578582447,14471.408604676153,11.804857927028545,0.024657428770118416,Bekker-UKF,0.7707908125056786,71.39919198946903
40,0.44970504443978765,3909672.8720367556,3516.7344578582447,14471.408604676153,11.804857927028545,0.024657428770118416,NN-UKF,0.48462829591533946,7.765812704871222
40,0.44970504443978765,3909672.8720367556,3516.7344578582447,14471.408604676153,11.804857927028545,0.024657428770118416,Learned MLP,0.558794400113739,24.25797909602006
41,0.6400452120066398,1313354.0083415546,19879.157169358252,17151.14941449965,7.706556415393522,0.01116277967386216,Bekker-UKF,0.6982691553593474,9.096848513274033
41,0.6400452120066398,1313354.0083415546,19879.157169358252,17151.14941449965,7.706556415393522,0.01116277967386216,NN-UKF,0.6846438595158073,6.968046424305549
41,0.6400452120066398,1313354.0083415546,19879.157169358252,17151.14941449965,7.706556415393522,0.01116277967386216,Learned MLP,0.603981321151163,5.63458489790291
42,0.89498608996769,992539.0090072606,8291.657104523718,3857.2173377949466,34.022611855246225,0.019781973146840055,Bekker-UKF,0.4937387717763649,44.832799379687636
42,0.89498608996769,992539.0090072606,8291.657104523718,3857.2173377949466,34.022611855246225,0.019781973146840055,NN-UKF,1.3219955078741283,47.71129101256242
42,0.89498608996769,992539.0090072606,8291.657104523718,3857.2173377949466,34.022611855246225,0.019781973146840055,Learned MLP,1.092052510766084,22.018936719509036
45,0.5769704984346947,738598.6447290411,16459.875750439995,1239.2554657873843,37.53992634548543,0.024267314300562868,Bekker-UKF,0.4162496988682422,27.855982238690483
45,0.5769704984346947,738598.6447290411,16459.875750439995,1239.2554657873843,37.53992634548543,0.024267314300562868,NN-UKF,0.6346097893380239,9.989989273230265
45,0.5769704984346947,738598.6447290411,16459.875750439995,1239.2554657873843,37.53992634548543,0.024267314300562868,Learned MLP,0.6162212643796419,6.802906916633242
44,1.1165050998915333,2489181.073412393,6940.707985017473,13078.440229258118,29.755392455026698,0.013751173466072825,Bekker-UKF,0.6969103265845158,37.5810888233095
44,1.1165050998915333,2489181.073412393,6940.707985017473,13078.440229258118,29.755392455026698,0.013751173466072825,NN-UKF,1.0147961706177886,9.109580357817048
44,1.1165050998915333,2489181.073412393,6940.707985017473,13078.440229258118,29.755392455026698,0.013751173466072825,Learned MLP,0.9492776975970075,14.977755346641203
46,0.49245113391083334,1133746.2592198295,16310.644728176962,15006.76838031956,26.595712362479123,0.013330539596849118,Bekker-UKF,0.43320399022535155,12.031070619122483
46,0.49245113391083334,1133746.2592198295,16310.644728176962,15006.76838031956,26.595712362479123,0.013330539596849118,NN-UKF,0.50924255368359,3.4097636529753594
46,0.49245113391083334,1133746.2592198295,16310.644728176962,15006.76838031956,26.595712362479123,0.013330539596849118,Learned MLP,0.5814082708640363,18.064155167385646
43,1.046927777563178,3414282.0145162637,17386.65187559874,16665.793683618147,13.447369605151348,0.019173662024853586,Bekker-UKF,1.0287776508430166,1.7336560466861883
43,1.046927777563178,3414282.0145162637,17386.65187559874,16665.793683618147,13.447369605151348,0.019173662024853586,NN-UKF,0.9547348870800639,8.806041109894096
43,1.046927777563178,3414282.0145162637,17386.65187559874,16665.793683618147,13.447369605151348,0.019173662024853586,Learned MLP,0.5981730952282054,42.86395794937172
48,0.5350319112017901,1669825.1520397302,8455.33604479445,9827.109404215435,30.38601333462013,0.015139293289365151,Bekker-UKF,0.4952467405740075,7.436036953088831
48,0.5350319112017901,1669825.1520397302,8455.33604479445,9827.109404215435,30.38601333462013,0.015139293289365151,NN-UKF,0.5382469177299046,0.6008999577040212
48,0.5350319112017901,1669825.1520397302,8455.33604479445,9827.109404215435,30.38601333462013,0.015139293289365151,Learned MLP,0.5966073865863671,11.50874818779801
49,0.7458491822708261,2590943.0817921776,13110.336084225279,17694.43877477147,19.0776383907471,0.02168246595899502,Bekker-UKF,0.7986548609384763,7.079940546006506
49,0.7458491822708261,2590943.0817921776,13110.336084225279,17694.43877477147,19.0776383907471,0.02168246595899502,NN-UKF,0.7751987369675291,3.9350522055068535
49,0.7458491822708261,2590943.0817921776,13110.336084225279,17694.43877477147,19.0776383907471,0.02168246595899502,Learned MLP,0.6280623813195828,15.792308116853789
51,0.4161651007439924,2120789.0422475548,13779.796297748519,19469.07086769118,36.829098635585716,0.010931511480750963,Bekker-UKF,0.41535304202437295,0.19512898082219754
51,0.4161651007439924,2120789.0422475548,13779.796297748519,19469.07086769118,36.829098635585716,0.010931511480750963,NN-UKF,0.5989891134865525,43.93064493291712
51,0.4161651007439924,2120789.0422475548,13779.796297748519,19469.07086769118,36.829098635585716,0.010931511480750963,Learned MLP,0.6036700516973429,45.05542406562722
50,1.1005113551789742,3506637.500004596,8109.118057841104,4776.7931680812035,22.598711392661688,0.016469116827892323,Bekker-UKF,0.930119047875706,15.483012192596384
50,1.1005113551789742,3506637.500004596,8109.118057841104,4776.7931680812035,22.598711392661688,0.016469116827892323,NN-UKF,0.9987069575217493,9.250644909581025
50,1.1005113551789742,3506637.500004596,8109.118057841104,4776.7931680812035,22.598711392661688,0.016469116827892323,Learned MLP,0.613491413465957,44.2539678869387
52,0.47002104617684304,1103733.5408728025,10020.558724334356,7644.269007640927,18.864944487542342,0.018643099226522606,Bekker-UKF,0.5620387301024662,19.57735396618856
52,0.47002104617684304,1103733.5408728025,10020.558724334356,7644.269007640927,18.864944487542342,0.018643099226522606,NN-UKF,0.4358883066570763,7.261959820183134
52,0.47002104617684304,1103733.5408728025,10020.558724334356,7644.269007640927,18.864944487542342,0.018643099226522606,Learned MLP,0.6346692788441419,35.029970254853396
47,0.8093967866693444,1852198.328560978,16052.796780326082,7047.019966461404,12.326950652030064,0.02381384477015691,Bekker-UKF,1.2143276057638985,50.02871592322948
47,0.8093967866693444,1852198.328560978,16052.796780326082,7047.019966461404,12.326950652030064,0.02381384477015691,NN-UKF,1.019699979971064,25.982706722510475
47,0.8093967866693444,1852198.328560978,16052.796780326082,7047.019966461404,12.326950652030064,0.02381384477015691,Learned MLP,0.5930972390930779,26.723549084786452
53,0.6867814512659798,3760409.3668416273,3385.9762031387345,9467.229309602657,8.817808036495867,0.012382212430699499,Bekker-UKF,1.015793556637491,47.90637614994204
53,0.6867814512659798,3760409.3668416273,3385.9762031387345,9467.229309602657,8.817808036495867,0.012382212430699499,NN-UKF,0.5970058370671932,13.07193344160628
53,0.6867814512659798,3760409.3668416273,3385.9762031387345,9467.229309602657,8.817808036495867,0.012382212430699499,Learned MLP,0.5808872751344424,15.418904505405203
54,1.2399896692115178,2635867.5226664366,2947.3128943510164,18881.628585152688,23.12471440903876,0.018379609604256292,Bekker-UKF,0.8419763871557193,32.09811274547847
