idx,n_true,Kphi,Kc,cohesion,friction_angle,janosi_shear,estimator,converged_n,pct_err
24,0.7108536647990151,3174809.8279070314,10242.359641088417,10019.351179352541,35.97122936456992,0.020396757443695138,Bekker-UKF,0.9489823488375911,33.49897395632107
24,0.7108536647990151,3174809.8279070314,10242.359641088417,10019.351179352541,35.97122936456992,0.020396757443695138,NN-UKF,0.8874443239701063,24.84205511144406
24,0.7108536647990151,3174809.8279070314,10242.359641088417,10019.351179352541,35.97122936456992,0.020396757443695138,Learned MLP,0.5628166343294141,20.825246854633104
27,1.289736718602284,2783012.9624333903,9581.084002601225,18909.706898652676,31.53106642153133,0.01775034666674444,Bekker-UKF,0.772057985502687,40.13832634466798
27,1.289736718602284,2783012.9624333903,9581.084002601225,18909.706898652676,31.53106642153133,0.01775034666674444,NN-UKF,1.3579856700740063,5.29169639720619
27,1.289736718602284,2783012.9624333903,9581.084002601225,18909.706898652676,31.53106642153133,0.01775034666674444,Learned MLP,1.0214460187373011,20.801974232053755
25,0.7549429007552306,3334830.227483131,19729.97561152789,2959.2739561276358,32.7658275728554,0.014083704600554733,Bekker-UKF,1.3619086364347768,80.39889309143103
25,0.7549429007552306,3334830.227483131,19729.97561152789,2959.2739561276358,32.7658275728554,0.014083704600554733,NN-UKF,0.8989208973861166,19.07137566123916
25,0.7549429007552306,3334830.227483131,19729.97561152789,2959.2739561276358,32.7658275728554,0.014083704600554733,Learned MLP,0.5360380481759495,28.996213138807303
28,1.2724196281652262,2747498.2882579654,14826.462369745004,12593.994140211718,28.74376417073083,0.017617692913643613,Bekker-UKF,0.8030085766381043,36.89121427684923
28,1.2724196281652262,2747498.2882579654,14826.462369745004,12593.994140211718,28.74376417073083,0.017617692913643613,NN-UKF,1.3548709564157764,6.479884970765608
28,1.2724196281652262,2747498.2882579654,14826.462369745004,12593.994140211718,28.74376417073083,0.017617692913643613,Learned MLP,1.061928154361536,16.542614491668118
26,1.149071032593369,2226832.994675161,1717.6617436914464,13726.653585582539,10.80850569666399,0.012794665443590515,Bekker-UKF,0.919310402766485,19.995337390790468
