backend,idx,n_true,status,abs_dn,est_n
Bekker-UKF,53,0.8184625082575993,ok,0.20059946477933843,0.6178630434782608
NN-UKF,53,0.8184625082575993,ok,0.13513177551423639,0.6833307327433629
Fused-UKF,53,0.8184625082575993,ok,0.1569614022284932,0.6615011060291061
NN-UKF,54,0.8271519387371323,ok,0.11938407154963249,0.7077678671874998
Bekker-UKF,54,0.8271519387371323,ok,0.14537276143216782,0.6817791773049645
MLP,54,0.8271519387371323,ok,0.22020279766570372,0.6069491410714286
Fused-UKF,54,0.8271519387371323,ok,0.1414007701978066,0.6857511685393257
MLP,55,0.8321154017089377,ok,0.045405698291062335,0.8775211
Bekker-UKF,56,0.8341325361900878,ok,0.23420578956846616,0.5999267466216216
Bekker-UKF,55,0.8321154017089377,ok,0.24693828591946398,0.5851771157894737
Fused-UKF,55,0.8321154017089377,ok,0.011783125192732058,0.8438985269016698
NN-UKF,55,0.8321154017089377,ok,0.23241330414796213,0.5997020975609756
MLP,56,0.8341325361900878,ok,0.15952601311316472,0.674606523076923
NN-UKF,56,0.8341325361900878,ok,0.23265919356060571,0.601473342629482
MLP,57,0.8436849513860766,ok,0.012588199952042078,0.8310967514340345
Fused-UKF,56,0.8341325361900878,ok,0.11776576453654453,0.7163667716535432
Fused-UKF,57,0.8436849513860766,ok,0.02228331378917725,0.8214016375968993
Bekker-UKF,57,0.8436849513860766,ok,0.18390826020960593,0.6597766911764706
NN-UKF,57,0.8436849513860766,ok,0.10030578500826026,0.7433791663778163
MLP,58,0.8481044250140065,ok,0.07250239107794754,0.920606816091954
Fused-UKF,58,0.8481044250140065,ok,0.03394925076724342,0.8820536757812499
Bekker-UKF,58,0.8481044250140065,ok,0.21602817843866406,0.6320762465753424
MLP,59,0.8530095168566949,ok,0.0018144708626033346,0.8548239877192982
NN-UKF,58,0.8481044250140065,ok,0.22825293711078076,0.6198514879032258
Bekker-UKF,59,0.8530095168566949,ok,0.24872351351221322,0.6042860033444817
NN-UKF,59,0.8530095168566949,ok,0.2807661835233616,0.5722433333333333
Bekker-UKF,60,0.8612149229198647,ok,0.20509127764959434,0.6561236452702703
Fused-UKF,60,0.8612149229198647,ok,0.02392593155774736,0.885140854477612
NN-UKF,60,0.8612149229198647,ok,0.24850044923565417,0.6127144736842105
MLP,60,0.8612149229198647,ok,0.06741933212600693,0.9286342550458716
Fused-UKF,59,0.8530095168566949,ok,0.01434504416366289,0.838664472693032
MLP,61,0.8659361999303944,ok,0.018772979104541565,0.8471632208258528
Bekker-UKF,61,0.8659361999303944,ok,0.2200596393243338,0.6458765606060606
Fused-UKF,61,0.8659361999303944,ok,0.005912487286716228,0.8600237126436782
Bekker-UKF,62,0.8692394752995236,ok,0.20384358152662985,0.6653958937728938
MLP,62,0.8692394752995236,ok,0.040472279550564316,0.9097117548500879
NN-UKF,61,0.8659361999303944,ok,0.2576851410049178,0.6082510589254766
NN-UKF,62,0.8692394752995236,ok,0.22794203085507925,0.6412974444444444
Fused-UKF,63,0.8749465910075536,ok,0.010739338198564652,0.8642072528089889
Fused-UKF,62,0.8692394752995236,ok,0.009151540174364148,0.8783910154738878
Bekker-UKF,63,0.8749465910075536,ok,0.2441399408174395,0.6308066501901141
MLP,63,0.8749465910075536,ok,0.006526863038204822,0.8684197279693487
NN-UKF,63,0.8749465910075536,ok,0.15369929638017066,0.7212472946273829
MLP,64,0.8805076130514927,ok,0.0022524466998858905,0.8782551663516068
MLP,65,0.8875676137503509,ok,0.0658621618331321,0.953429775583483
Bekker-UKF,65,0.8875676137503509,ok,0.31784870330258974,0.5697189104477611
Bekker-UKF,64,0.8805076130514927,ok,0.29749999818662787,0.5830076148648649
NN-UKF,64,0.8805076130514927,ok,0.32689374499593715,0.5536138680555556
Fused-UKF,64,0.8805076130514927,ok,0.04288149518777251,0.8376261178637202
NN-UKF,65,0.8875676137503509,ok,0.31232495724628595,0.5752426565040649
Fused-UKF,65,0.8875676137503509,ok,0.03383318170419458,0.9214007954545455
Bekker-UKF,66,0.8942222372626994,ok,0.31572229187020784,0.5784999453924916
Fused-UKF,66,0.8942222372626994,ok,0.011319496819697683,0.9055417340823971
MLP,66,0.8942222372626994,ok,0.02614962199655979,0.9203718592592592
NN-UKF,66,0.8942222372626994,ok,0.32580961694184396,0.5684126203208555
MLP,67,0.8995752465984165,ok,0.07347663243384162,0.9730518790322581
MLP,68,0.9013959493784798,ok,0.0016630431284797575,0.89973290625
Fused-UKF,67,0.8995752465984165,ok,0.027527053990974437,0.9271023005893909
NN-UKF,67,0.8995752465984165,ok,0.31240484482850506,0.5871704017699114
Bekker-UKF,67,0.8995752465984165,ok,0.2900157117998817,0.6095595347985348
Bekker-UKF,68,0.9013959493784798,ok,0.3100989020811825,0.5912970472972973
NN-UKF,68,0.9013959493784798,ok,0.342556324139474,0.5588396252390058
Bekker-UKF,69,0.9065623972179451,ok,0.33503158927092525,0.5715308079470198
Fused-UKF,68,0.9013959493784798,ok,0.03425639618699039,0.8671395531914894
MLP,69,0.9065623972179451,ok,0.054109330054782245,0.9606717272727273
Fused-UKF,69,0.9065623972179451,ok,0.02001480004767986,0.9265771972656249
NN-UKF,69,0.9065623972179451,ok,0.33895104921794517,0.5676113479999999
Bekker-UKF,70,0.9156751066202341,ok,0.2938180034456308,0.6218571031746033
NN-UKF,70,0.9156751066202341,ok,0.2256551353009224,0.6900199713193117
MLP,70,0.9156751066202341,ok,0.08371419719921047,0.9993893038194446
MLP,71,0.9189358957955135,ok,0.006765036809222469,0.925700932604736
Bekker-UKF,71,0.9189358957955135,ok,0.2509895270247494,0.6679463687707641
Fused-UKF,70,0.9156751066202341,ok,0.04329239543737917,0.9589675020576133
MLP,72,0.9271094763902804,ok,0.016152606795560076,0.9432620831858405
NN-UKF,71,0.9189358957955135,ok,0.3328682370183932,0.5860676587771203
Fused-UKF,71,0.9189358957955135,ok,0.01996316798486253,0.898972727810651
Fused-UKF,72,0.9271094763902804,ok,0.03553090637055667,0.8915785700197237
NN-UKF,72,0.9271094763902804,ok,0.3360853170207533,0.5910241593695271
Bekker-UKF,72,0.9271094763902804,ok,0.33444019067599473,0.5926692857142857
Bekker-UKF,73,0.9329730535186417,ok,0.2702725651465486,0.662700488372093
NN-UKF,73,0.9329730535186417,ok,0.21969612687771511,0.7132769266409266
MLP,74,0.9359162490073798,ok,0.020961726896234545,0.9568779759036143
MLP,73,0.9329730535186417,ok,0.028847687357270946,0.9618207408759126
Bekker-UKF,74,0.9359162490073798,ok,0.33594338442404637,0.5999728645833334
Fused-UKF,73,0.9329730535186417,ok,0.004578483707320946,0.9283945698113207
Bekker-UKF,75,0.940237163088849,ok,0.3270968353861462,0.6131403277027028
NN-UKF,74,0.9359162490073798,ok,0.3660069673172389,0.5699092816901409
NN-UKF,75,0.940237163088849,ok,0.31557119985355486,0.6246659632352941
Fused-UKF,75,0.940237163088849,ok,0.03091552316712698,0.909321639921722
MLP,75,0.940237163088849,ok,0.011847151312773807,0.9520843144016228
Fused-UKF,74,0.9359162490073798,ok,0.007531612303259827,0.92838463670412
MLP,76,0.9510881522055036,ok,0.052470886663754324,1.003559038869258
Bekker-UKF,76,0.9510881522055036,ok,0.2508432758804152,0.7002448763250884
Fused-UKF,76,0.9510881522055036,ok,0.014981910416805633,0.9660700626223092
MLP,77,0.9564977369399255,ok,0.05631363065589334,1.0128113675958188
NN-UKF,76,0.9510881522055036,ok,0.359303260105311,0.5917848921001926
Bekker-UKF,77,0.9564977369399255,ok,0.3516297369399254,0.6048680000000001
NN-UKF,77,0.9564977369399255,ok,0.3129747948346623,0.6435229421052632
Fused-UKF,77,0.9564977369399255,ok,0.015914636477796007,0.9724123734177215
NN-UKF,78,0.9576312583435524,ok,0.2766897450692162,0.6809415132743363
Bekker-UKF,78,0.9576312583435524,ok,0.344620628972923,0.6130106293706294
MLP,78,0.9576312583435524,ok,0.03838743987073334,0.9960186982142858
Fused-UKF,78,0.9576312583435524,ok,0.01483573171608965,0.9724669900596421
NN-UKF,79,0.9639572230563752,ok,0.33477476246092874,0.6291824605954465
MLP,79,0.9639572230563752,ok,0.058460331660605935,1.0224175547169811
Bekker-UKF,79,0.9639572230563752,ok,0.28932855872071084,0.6746286643356644
Fused-UKF,79,0.9639572230563752,ok,0.024016580681942457,0.9879738037383177
Bekker-UKF,80,0.9702891854128007,ok,0.39551545781423436,0.5747737275985664
MLP,80,0.9702891854128007,ok,0.060690150902047324,1.030979336314848
Fused-UKF,80,0.9702891854128007,ok,0.02031210090298874,0.9906012863157895
NN-UKF,80,0.9702891854128007,ok,0.3593673967804739,0.6109217886323268
